MERCEDES  OM 352-353  (12V);OZ1200;EX;;38,15;28,00;8,90;45°
MERCEDES  2624-2628 (OM 355)  (24V);OZ1201;IN;;51,15;37,00;7,60;45°
MERCEDES  2624-2628 (OM 355)  (24V);OZ1202;EX;;40.15;30,50;7,60;45°
MERCEDES  2517 (OM 362-364-366) 12V;OZ1203;IN;;43,95;35,00;7,80;30°
MERCEDES  2517 (OM 362-364-366) 12V;OZ1204;EX;;38,15;30,00;8,10;45°
MERCEDES  ACTROS (OM 502-OM457) (32V);OZ1205;IN;;47,50;40,00;7,80;30°
MERCEDES  ACTROS (OM 502-OM457) (32V);OZ1206;EX;;43,20;34,50;8,10;45°
MERC. ACTROS (457) - 36 DERECE;OZ1207;EX;;43,20;34,50;8,10;36°
MERCEDES  ACTROS KOMPRESÖR;OZ1208;IN/EX;;21,10;14,40;5,50;45°
MERCEDES  AXOR  (18V);OZ1209;IN;;35,15;28,00;7,70;20°
MERCEDES  AXOR  (18V);OZ1210;EX;;40,10;30,70;8,00;20°
MITSUBISHI  CANTER (8V);OZ1211;IN;;46,00;39,00;6,80;45°
MITSUBISHI  CANTER (8V);OZ1212;EX;;39,00;31,90;6,50;45°
MITSUBISHI  L-300, L-200  E.M. (4D55) 8V;OZ1213;IN;;45,00;36,00;10,00;45°
MITSUBISHI  L-300, L-200  E.M. (4D55) 8V;OZ1214;EX;;40,00;30,00;10,00;45°
MITSUBISHI  L-300, L-200  Y.M. (4D55) 8V;OZ1215;IN;;43,10;36,00;10,00;45°
MITSUBISHI  L-300, L-200  Y.M. (4D55) 8V;OZ1216;EX;;38,10;30,00;10,00;45°
MITSUBISHI  MARATON (16V);OZ1217;IN;;61,15;50,00;7,70;45°
MITSUBISHI  MARATON (16V);OZ1218;EX;;55,15;45,60;7,50;45°
NISSAN  Z22 - Z23 - Z24 (8V);OZ1219;IN;;45,15;39,00;7,70;45°
NISSAN  Z22 - Z23 - Z24 (8V);OZ1220;EX;;40,15;32,00;7,50;45°
PERKINS  AS 250 E.M.   (8V);OZ1221;IN;;48,35;39,50;7,60;45°
PERKINS  AS 250 E.M.   (8V);OZ1222;EX;;42,75;32,00;9,70;45°
PERKINS  AS 600-900  (6.354)  (12V);OZ1223;IN;;51,35;39,50;7,20;45°
PERKINS  AS 600-900  (6.354)  (12V);OZ1224;EX;;42,75;32,00;9,70;45°
PERKINS  AS 600-900 (12V) -  HAM DODGE;OZ1225;IN;;53,00;40,00;8,70;45°
PERKINS  AS 600-900 (12V) -  HAM DODGE;OZ1226;EX;;45,00;32,00;10,70;45°
PERKINS  AS 950  (12V);OZ1227;IN;;51,35;38,50;7,20;30°
PERKINS  AS 950  (12V);OZ1228;EX;;42,75;32,00;9,70;45°
RENAULT  1300 - 1400  (8V);OZ1229;IN;;35,00;29,00;7,00;45°
RENAULT  1300 - 1400  (8V);OZ1230;EX;;32,00;26,50;7,00;45°
RENAULT  EXPRES, CLİO 1.4 (8V);OZ1231;IN;;38,75;32,00;8,00;
RENAULT  EXPRES, CLİO 1.4 (8V);OZ1232;EX;;34,75;28,00;8,00;
RENAULT  CLİO 1.5  (8V);OZ1233;IN;;34,65;28,00;8,00;
RENAULT  CLİO 1.5  (8V);OZ1234;EX;;30,15;24,50;8,00;
  RENAULT KERAX 420 PREMİUM                         Eng DCİ 11 C;OZ1235;IN;;44,00;34,50;6,50;
  RENAULT KERAX 420 PREMİUM                         Eng DCİ 11 C;OZ1236;EX;;40,00;31,00;7,30;
SCANIA  110 (D10) (12V);OZ1237;IN;;60,10;50,00;7,90;30°
SCANIA  110 (D10) (12V);OZ1238;EX;;52,10;40,00;7,90;30°
SCANIA  111, 112 (D11-DS10-DS 11)  12V;OZ1239;IN;;56,13;47,50;7,70;20°
SCANIA  111, 112 (D11-DS10-DS 11)  12V;OZ1240;EX;;52,15;40,60;10,30;45°
SCANIA  D8  (12V);OZ1241;IN;;55,05;45,00;7,60;30°
SCANIA  D8  (12V);OZ1242;EX;;47,20;37,00;7,90;30°
SCANIA  DS 8  (12V);OZ1243;IN;;55,05;45,00;7,60;30°
SCANIA  DS 8  (12V);OZ1244;EX;;47,20;36,40;7,90;45°
SCANIA  DS 9  (12V);OZ1245;IN;;53,20;44,00;8,00;20°
SCANIA  DS 9  (12V);OZ1246;EX;;49,15;39,00;10,00;45°
SCANIA  DS 124  (24V) EURO4;OZ1247;IN;;46,10;35,00;8,10;20°
SCANIA  DS 124  (24V) EURO5;OZ1248;EX;;44,10;35,00;8,60;45°
STEYR  768 TRAKTÖR  (8V);OZ1249;IN;;45,00;35,00;10,00;45°
STEYR  768 TRAKTÖR  (8V);OZ1250;EX;;40,00;33,00;10,00;45°
VOLKWAGEN TRANPORTER   (10V);OZ1251;IN;;37,15;32,00;9,00;
VOLKWAGEN TRANPORTER   (10V);OZ1252;EX;;33,15;28,00;9,00;
VOLVO  D60, TD60, TD61, TD63 (12V);OZ1253;IN;;43,63;35,60;6,13;30°
VOLVO  D60, TD60, TD61, TD63 (12V);OZ1254;EX;;41,65;31,90;8,92;45°
VOLVO  F7, F86, N86 (D70-TD70) (12V);OZ1255;IN;;46,15;37,50;6,20;45°
VOLVO  F7, F86, N86 (D70-TD70) (12V);OZ1256;EX;;44,15;34,00;9,50;45°
VOLVO  F10,  F88, N88 (TD100-101) (12V);OZ1257;IN;;54,10;44,30;6,70;30°
VOLVO  F10,  F88, N88 (TD100-101) (12V);OZ1258;EX;;49,13;40,00;11,70;45°
VOLVO  F12, N12 (TD120-121-122) (12V);OZ1259;IN;;59,17;48,70;6,75;30°
VOLVO  F12, N12 (TD120-121-122) (12V);OZ1260;EX;;56,65;45,10;9,50;45°
VOLVO  TD 162 - 163  (12V);OZ1261;IN;;50,20;41,00;6,15;30°
